Locuteur,Echange
LD54:,qu'aujourd'hui euh faut faire un choix euh
LD54:,sur le dimanche
LD54:,euh dans le loisir euh c'est vrai euh
LD54:,y avait une période où je faisais du tennis
LD54:,je faisais un petit peu de sport
LD54:,mais on peut pas aujourd'hui faire euh
LD54:,aujourd'hui donc le loisir c'est la lecture
LD54:,hein
LD54:,éventuellement c'est un loisir
ch_NS3:,hm hm
LD54:,parce qu'en plus on est sur place hein
LD54:,mais c'est le loisir euh mon épouse
LD54:,avait aussi des loisirs euh
LD54:,beaucoup de sport donc aujourd'hui euh
LD54:,elle est toujours très s- très
LD54:,très très sport
LD54:,mais y a plus d'activités en sport
LD54:,mais mais ça empêche pas
LD54:,que le soir on pourrait très bien
LD54:,j'ai connu
LD54:,[connais:pronounce:instantaneous] des commerçants
LD54:,le soir à vingt heures euh
LD54:,ils vont à la salle de gymnastique à côté
ch_NS3:,donc aujourd'hui on pourrait très bien
LD54:,hm hm
LD54:,aller faire de la gymnastique euh
LD54:,ou faire du sport en salle le soir hein
LD54:,mais c'est quand même euh hm
LD54:,[bb:noise:instantaneous]
LD54:,c'est quand même prenant euh la présence
LD54:,et le soir euh
LD54:,on a envie que d'une seule
LD54:,[cheule:pronounce:instantaneous] chose
LD54:,hein c'est de rentrer chez soi et
LD54:,et d'être dans son univers
ch_NS3:,ouais
ch_NS3:,faire une une coupure et se reposer un peu euh
LD54:,oui oui mais bon
LD54:,euh p- p-
ch_NS3:,hm hm
LD54:,pouvoir
LD54:,c'est pour euh c'est pour faire autre chose hein
LD54:,bon euh
ch_NS3:,hm hm
LD54:,aujourd'hui euh
LD54:,aujourd'hui on peut très bien avoir Internet
LD54:,euh dans le magasin c'est aujourd'hui c'est c'est
LD54:,[b:noise:instantaneous] l'évolution des commerçants y a y a
LD54:,y a par par y a
LD54:,par rapport à y a dix ans c'est vrai qu'aujourd'hui euh
LD54:,on peut être au commerce euh
LD54:,et être sur Internet pour faire euh
LD54:,plein de choses hein donc ça veut dire qu'aujourd'hui
ch_NS3:,ouais ouais
LD54:,c'est vrai que c'est plus les commerces
LD54:,où y a vingt ans ou y a dix ans
LD54:,où on était astreint à son commerce hein
ch_NS3:,hm hm
ch_NS3:,et justement vous parliez de lecture
ch_NS3:,vous lisez quels types de
ch_NS3:,plutôt des quotidiens ou de
ch_NS3:,la presse diverse euh
LD54:,oui non la presse non non
LD54:,je prends pas les les
LD54:,Closer ni les
LD54:,[rire en fond:noise:instantaneous]
LD54:,ni les tr-
LD54:,[rire en fond:noise:instantaneous] non non ça euh
LD54:,[rire:noise:instantaneous]
LD54:,ça ça se vend euh
LD54:,très bien à un euro pièce
LD54:,euh
ch_NS3:,hm hm
LD54:,non non
LD54:,je je peux pas vous dire aujourd'hui les titres de Closer
LD54:,parce qu'en plus quand les gens me disent
LD54:,sur Closer euh y a ça
LD54:,je réponds je sais pas
LD54:,hein
LD54:,[rire en fond:noise:instantaneous]
LD54:,ni sur Paris Match ça veut dire que tout ceux
LD54:,qui sont en bas dans mon magasin
LD54:,alignés par terre
LD54:,qui sont les revues euh
LD54:,Grazia Closer euh
LD54:,[pf:noise:instantaneous] bon
LD54:,bon ç-
LD54:,bon ça c'est
LD54:,je vais plutôt lire des revues un peu plus techniques euh
LD54:,aussi bien Courrier International
LD54:,que bon euh Aujourd'hui
LD54:,c'est un journal qui est très bien
LD54:,bon ça c'est les la
LD54:,c'est les actualités du jour
LD54:,bon
ch_NS3:,hm hm
LD54:,je suis pas très sportif
LD54:,donc euh je lis pas l'Equipe pour autant
LD54:,hein
LD54:,et l'Express les les les les non je veux dire euh
LD54:,de toutes les revues euh
LD54:,hebdomadaires du style l'Express
LD54:,un peu un peu ce que les gens achètent hein
LD54:,en réalité je me suis dit
LD54:,je me suis dit autant autant lire ce que les gens achètent
LD54:,hein euh euh
ch_NS3:,hm hm
LD54:,bon y a des revues un peu spécialisées
LD54:,sur la musique sur le jazz
LD54:,bon
LD54:,c'est pas mon fort
LD54:,sur l'automobile non plus
LD54:,je feuillète
LD54:,[feuyte:pronounce:previous] mais c'est pas ça qui me permet de euh
LD54:,de m'inspirer
LD54:,c'est plutôt sur euh l- l-
LD54:,les journaux
LD54:,[pf:noise:instantaneous]
LD54:,que je vous ai cités donc euh
LD54:,et déjà quand vous avez déjà un petit peu lu tout ça
LD54:,vous avez déjà vous êtes un petit peu cultivé
LD54:,tout au moins sur euh
LD54:,sur ce qui se passe dans le monde
ch_NS3:,hm hm
LD54:,hein hein
ch_NS3:,vous lisiez la Rép- aussi euh
ch_NS3:,pour savoir ce qui se passe euh
ch_NS3:,sur Orléans ou autour ou
LD54:,n- non vous savez qu'aujourd'hui la République du Centre
LD54:,perd dix pour cent par an
ch_NS3:,ah bon ?
LD54:,de quotidien
LD54:,de de des lecteurs
ch_NS3:,hm hm
LD54:,la gen- la génération des jeunes
LD54:,parce que l'autre jour la Rép- est venu
LD54:,me faire un petit un petit audite
LD54:,[pi:pronounce:instantaneous]
LD54:,venir me voir
LD54:,et il me disait la situation
LD54:,ils sont quand même ils sont dans une situation pas difficile
LD54:,mais la Rép-
LD54:,perd en moyenne dix pour cent de lecteurs par an
LD54:,donc qui est-ce qui lit la Rép- ?
LD54:,et ça je le vois bien
LD54:,bon euh hormis les abonnements
LD54:,que vous av-
LD54:,que les gens ont directement ou par porteur
LD54:,mais la Rép-
LD54:,euh n'est pas lue d- la génération des vingt
LD54:,des quin-
LD54:,des vingt à quarante ans ne lisent pas la Rép- hein
ch_NS3:,hm hm
LD54:,vous lisez la Rép- ?
ch_NS3:,j'attendais la question non
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,non non
LD54:,oui
LD54:,[rire:noise:instantaneous]
ch_NS3:,c'est vrai que
ch_NS3:,enfin je suis p- je suis pas euh Orléanaise de
ch_NS3:,de souche
ch_NS3:,donc je connaissais pas avant d'arriver mais bon
ch_NS3:,je sais que qu'elle existe et mais
LD54:,mais vous seriez vous êtes vous êtes vous êtes de quelle origine de souche ?
ch_NS3:,euh Charente
LD54:,bon est-ce que vous euh c'est quoi comme journal ?
ch_NS3:,je viens de Charente
LD54:,en Charente
ch_NS3:,mais je li- je lisais pas plus euh
ch_NS3:,ma mère lit euh
ch_NS3:,c'est quoi c'est la Charente libre
ch_NS3:,euh sinon y a le Sud Ouest
LD54:,oui
LD54:,oui
ch_NS3:,mais c'est vrai que je suis pas tellement euh
ch_NS3:,euh journaux euh locaux euh
LD54:,non oui
ch_NS3:,non pas spécialement
LD54:,donc euh votre mère
LD54:,a au-delà de quarante ans
ch_NS3:,oui bah oui
LD54:,hein ?
ch_NS3:,ouais ouais
LD54:,donc c'est aujourd'hui
LD54:,je vois bien les clients qui passent ici
LD54:,c'est des personnes euh
LD54:,qui ont euh
LD54:,qui ont qui sont au-de- au-delà de la quarantaine
LD54:,qui lisent euh la Rép- mais si aujourd'hui euh
LD54:,là ils ils disent aujourd'hui que ils sont en perte euh
LD54:,de moins dix pour cent par an
LD54:,c'est que les gens
LD54:,aujourd'hui les gens vont plus facilement lire
LD54:,Aujourd'hui
LD54:,moi le premier
LD54:,Aujourd'hui
LD54:,qui est le Parisien
ch_NS3:,hm hm
LD54:,qui est différent
LD54:,y a peut-être moins de d'informations euh
LD54:,sur euh la région propre
LD54:,sur les les cancans des
LD54:,des villes
LD54:,bon les sur les faits divers
LD54:,[diverses:pronounce:instantaneous] euh des villages
LD54:,euh du village
LD54:,d'Orléans de
LD54:,mais c'est vrai que la Rép- est de moins en moins lue hein
ch_NS3:,hm hm
LD54:,[bb:noise:instantaneous] on peut pas que dire
LD54:,que moi j'ai vu une évolution importante
LD54:,depuis trois ans que nous sommes là en perte
LD54:,une évolution de perte sur euh
LD54:,sur la Rép-
LD54:,mais
LD54:,je pense que c'est un journal
LD54:,qui se lit de moins en moins souvent hein
LD54:,donc aujourd'hui
LD54:,les gens lisent plus Aujourd'hui
LD54:,non on vend plus de Rép- quand même qu'Aujourd'hui
LD54:,en France
LD54:,mais bon c'est les habitués
LD54:,et vous savez aujourd'hui les personnes âgées
LD54:,ils lisent la Rép- pour quoi d'après vous ?
ch_NS3:,pour les
ch_NS3:,pour euh
ch_NS3:,[bb:noise:instantaneous] ah je trouve plus le mot pour les avis de décès non
ch_NS3:,les les les personnes qui regardent si leur euh
LD54:,c'est ça
ch_NS3:,les gens qu'ils connaissent sont pas
LD54:,c'est c'est
ch_NS3:,décédées euh non
LD54:,mes parents aujourd'hui
LD54:,ils prennent la République de Centre
LD54:,euh la première chose qu'on fait on regarde les décès
LD54:,hein
ch_NS3:,hm hm
LD54:,et toutes les personnes
LD54:,j'ai j'ai même des personnes
LD54:,euh qui des clients
LD54:,qui prennent la Rép- et avant de sortir
LD54:,ils ouvrent le journal
LD54:,[rire en fond:noise:instantaneous]
LD54:,pour voir
LD54:,ils sont pas dedans
ch_NS3:,hm hm
LD54:,mais c'est surprenant euh
LD54:,et ils posent la question
LD54:,hein
LD54:,tu as vu euh et quand euh
LD54:,je suis pas dedans mais aujourd'hui le le le
LD54:,c'est surprenant de voir euh
LD54:,[rire en fond:noise:instantaneous]
LD54:,ce journal il sert
LD54:,pour les avis
LD54:,[b:noise:instantaneous]
LD54:,de décès hein
ch_NS3:,hm hm
LD54:,et bon et pour les les informations euh de la région
LD54:,non je lis la Rép- je la lis pas
LD54:,donc je lis plutôt les les revues euh
LD54:,du style euh bon euh
LD54:,quand Cal-
LD54:,quand Capi- j'ai Capital
LD54:,qui est ce
LD54:,Capital en ce moment en lecture
LD54:,mais c'est un petit peu les les revues euh
LD54:,mais en réalité on
LD54:,on retrouve les revues euh les les best seller
LD54:,on on je veux dire en réalité les les revues qui se vendent hein
ch_NS3:,hm hm
LD54:,parce que vous savez que sur euh
LD54:,vous savez en presse en moyenne
LD54:,sur cent revues
LD54:,en moyen- en en en proportion c'est quarante pour cent
LD54:,nous presse
LD54:,sur cent produits qu'on reçoit
LD54:,on en retourne quarante pour cent
LD54:,voire soixante
LD54:,c'est ça a été des périodes à soixante pour cent
LD54:,ça veut dire qu'y a quarante pour cent
ch_NS3:,ah ouais
LD54:,de titres
LD54:,qui ne sont pas lus
ch_NS3:,hm hm
ch_NS3:,mais y a tellement de nouveaux titres
ch_NS3:,tellement de choses qui sortent aussi
ch_NS3:,euh
LD54:,oui non mais bon aujourd'hui aussi euh
LD54:,c'est vrai qu'y a beaucoup de titres
LD54:,mais aussi c'est le coût aujourd'hui faut voir
LD54:,aujourd'hui j'ai une revue moi je vois des
LD54:,des revues des revues
LD54:,y a des revues nous on a
LD54:,un panier moyen en en presse
LD54:,important
LD54:,on peut avoir des des gens
LD54:,qui mettent trente quarante euros en revues
LD54:,hein
LD54:,donc on a un panier moyen
LD54:,important parce qu'on a la clientèle pour ça
LD54:,hein
ch_NS3:,hm hm
LD54:,mais quand vous voyez des revues
LD54:,qui sont à cinq euros cinquante hein
LD54:,[bruit de moto:noise:instantaneous]
LD54:,[bruit de moto:noise:instantaneous]
LD54:,et le mois suivant euh subitement vous voyez
LD54:,que le code barre
LD54:,bon vous avez pas la mémoire
LD54:,que quand vous le passez au code barre vous voyez
LD54:,qu'il est passé à six cinquante
LD54:,et que la p- personne habituelle
ch_NS3:,hm hm
LD54:,a si elle prend que ça
LD54:,c'est pas souvent le cas
LD54:,elle a ses cinq euros cinquante dans sa poche
LD54:,où elle a son prix en tête
LD54:,et elle voit qu'il passe à six cinquante
LD54:,euh donc les revues sont relativement chères
ch_NS3:,hm hm
LD54:,et si aujourd'hui on dit aujourd'hui
LD54:,que y a la crise dans la presse
LD54:,hein
LD54:,au niveau euh c'est vrai que la presse
LD54:,paye en moyenne
LD54:,entre cinq et dix pour cent par an
LD54:,au niveau des
LD54:,des chiffres d'affaire de tout
LD54:,tout agent qui vend de la presse euh
LD54:,tous les ans on perd entre cinq et dix pour cent
ch_NS3:,hm hm
LD54:,de chiffre d'affaires
LD54:,mais bon on dit aujourd'hui que c'est Internet
LD54:,Internet c'est peut-être pas Internet
LD54:,qui va qui va poser ces problèmes
LD54:,ça veut dire que les gens aujourd'hui euh ont
LD54:,pas le pouvoir d'achat et
LD54:,s- peut-être que la presse
LD54:,a
LD54:,coûte a a pris une euh
LD54:,une augmentation dans les années
LD54:,qui a pas suivi le cours de la vie hein
ch_NS3:,hm hm
LD54:,combien vous dépensez en presse par semaine ?
ch_NS3:,moi rien du tout
LD54:,bon
ch_NS3:,c'est euh c'est mon ami qui euh
ch_NS3:,qui achète plutôt et puis il est abonné à Télérama donc ça il euh
LD54:,oui oui mais ça c'est pas de la presse Télérama c'est plutôt le oui
ch_NS3:,il le reçoit ou en ouais
LD54:,c'est plutôt le programme de télé-
ch_NS3:,puis on achète de temps en temps Le Monde Le Monde Diplomatique
LD54:,oui
ch_NS3:,mais euh c'est comme ça de temps en temps c'est
ch_NS3:,ah ouais en général euh
ch_NS3:,ouais c'est plutôt le
ch_NS3:,la
LD54:,et vous êtes plutôt sur Internet non vous la regardez
ch_NS3:,sur Internet et puis le
ch_NS3:,la radio euh j'écoute beaucoup France Inter pour euh
ch_NS3:,pour tout ce qui est information euh
ch_NS3:,hm hm
LD54:,mais oui mais ça
LD54:,c'est de l'information classique mais au niveau
LD54:,culturel pour euh
LD54:,en tant culturel
LD54:,qu'est-ce que vous lisez comme euh bouquins ?
ch_NS3:,beh c'est ouais c'est plutôt par facilité
ch_NS3:,regarder sur Internet euh
LD54:,oui
ch_NS3:,euh les articles qu'y a ou si je regarde euh
LD54:,oui c-
ch_NS3:,Libération ou d'autres quotidiens mais ça va
ch_NS3:,plutôt aller euh ouais
LD54:,oui oui c'est oui oui c'est plutôt les gros
ch_NS3:,ouais ouais ouais
LD54:,les gros titres hein c'est plutôt vous
ch_NS3:,mais c'est vrai que bon de temps en temps
ch_NS3:,se plonger dans Le Monde Diplomatique c'est euh
ch_NS3:,ou dans les dossiers euh c'est
ch_NS3:,pas désagréable mais bon faut avoir le
ch_NS3:,le temps aussi voilà le temps aussi de le lire et ouais
LD54:,le temps c'est le temps qui manque
LD54:,je pense que c'est le temps qui manque aux gens
ch_NS3:,ouais ouais
LD54:,encore que bon c'est vrai que euh sur
LD54:,Paris y a plus de transports c'est vrai qu'aujourd'hui
LD54:,mais aujourd'hui je voyais le tram-
LD54:,j'ai pris le tram- ce matin pour aller euh
LD54:,à Coligny chercher les timbres fiscaux
LD54:,donc c'est c'est très rapide
ch_NS3:,hm hm
LD54:,mais dans le tram- passe tous les jours devant chez nous
LD54:,je vois rarement dans le tram-
LD54:,des gens qui lisent
LD54:,remarquez
ch_NS3:,hm hm
LD54:,vous prenez le métro- à Paris
ch_NS3:,bah oui
ch_NS3:,hm hm
LD54:,le métro- en plus il est sous-terrain
LD54:,il est dans le noir
LD54:,c'est bruyant
LD54:,vous verrez dans le métro- euh vous voyez
LD54:,encore maintenant vous voyez des gens
LD54:,euh des gens qui vont travailler
LD54:,ils ont peut-être pour une demi-heure de métro-
LD54:,sans changement peut-être
LD54:,en plus ils sont souvent euh mal euh
LD54:,[rire:noise:instantaneous]
LD54:,ils sont pas toujours dans des positions
LD54:,confortables
LD54:,mais vous voyez les gens euh lire des
ch_NS3:,hm hm
LD54:,des revues des bouquins de poche
LD54:,des des des des des des best-sellers des aujourd'hui
ch_NS3:,ouais ouais
LD54:,les gens sur Paris
LD54:,lisent plus de
LD54:,nous dans le tram- je vois rarement des gens
LD54:,lire euh dans le tram- hein
ch_NS3:,hm hm
ch_NS3:,puisque les trajets sont moins longs
ch_NS3:,ou parce que ils regardent le ils regardent le
LD54:,attendez
ch_NS3:,paysage ou
ch_NS3:,[rire:noise:instantaneous]
LD54:,euh vous partez vous vous vous d'accord bah oui vous
LD54:,[rire:noise:instantaneous]
LD54:,dans le tram- c'est vrai dans le métro- y a pas de paysage
LD54:,[rire en fond:noise:instantaneous]
LD54:,mais quand vous partez de euh
LD54:,de Jules Verne là
LD54:,et si vous allez à La Source
ch_NS3:,ah oui là y a le temps de
ch_NS3:,[rire:noise:instantaneous]
LD54:,y en a quand même pour t- y en a pour trois quart d'heure hein
ch_NS3:,ouais ouais
ch_NS3:,y a le temps de lire là pourtant ouais
ch_NS3:,hm hm
LD54:,non mais c'est peut-être pas la culture des gens d'Orléans
LD54:,de lire dans le tram-
LD54:,ça vous pouvez le dire hein
LD54:,[rire:noise:instantaneous]
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,ouais ouais
ch_NS3:,oui c'est plus dans le train euh
ch_NS3:,c'est pareil dans le train je prends toujours
LD54:,dans le train
ch_NS3:,quelque chose à lire euh
LD54:,en train
ch_NS3:,euh
LD54:,oui dans le train
LD54:,les gens qui vont faire la navette euh Paris Orléans
ch_NS3:,hm hm
ch_NS3:,ouais
LD54:,euh vont lire dans le train
LD54:,mais dan le tram- vous voyez personne
ch_NS3:,hm hm
ch_NS3:,bah ouais
ch_NS3:,ouais c'est peut-être plus des gens qui
ch_NS3:,qui font des sauts de puces ou qui vont faire des courses ou
ch_NS3:,qui ouais
ch_NS3:,je sais pas euh
ch_NS3:,c'est vrai qu'on voit rarement euh
ch_NS3:,les gens plongés dans
ch_NS3:,dans un journal euh
ch_NS3:,hm hm
LD54:,et je sais qu'y a certainement des gens
LD54:,qui doivent prendre le tram-
LD54:,tous les jours euh pour aller travailler
LD54:,bon pas des sauts de puces
LD54:,des gens vraiment qui
ch_NS3:,ouais ouais
LD54:,qui vont
LD54:,qui se déplacent et qui font peut-être déjà une euh
LD54:,[b:noise:instantaneous]
LD54:,un petit parcours
LD54:,de d'un quart d'heure parce qu'aujourd'hui
LD54:,minimum c'est d'ici
LD54:,pour la Source c'est vingt minutes vingt-cinq minutes
LD54:,donc c'est quand même euh
LD54:,vous avez le temps de d'ouvrir un bouquin hein
ch_NS3:,hm hm
ch_NS3:,bah ouais
ch_NS3:,donc vous êtes lecture et au niveau de la
ch_NS3:,de la télé- de la radio vous
ch_NS3:,vous êtes
LD54:,non je suis pas du tout télévision
ch_NS3:,hm
LD54:,à part quelques émissions euh
LD54:,du jeudi soir ou du vendredi soir
LD54:,que
LD54:,que tout le monde regarde euh les émissions un peu
LD54:,culturelles
LD54:,pas culturelles comment les émissions un petit peu euh hm
LD54:,comment dire
LD54:,[b:noise:instantaneous]
LD54:,[b:noise:instantaneous]
LD54:,genre Capital ces ces émissions-là
LD54:,un petit peu qui permet un peu de voir un peu l'économie
LD54:,ce qui se passe un petit peu dans le monde
LD54:,euh
ch_NS3:,hm hm
LD54:,un petit peu les émissions du du du vendredi soir
LD54:,qui sont comment euh attendez là
LD54:,sur la pêche comment
ch_NS3:,ah Thalassa
ch_NS3:,Thalassa bon je pense que on
LD54:,je suis très Thalassa très très émissions
ch_NS3:,hm hm
LD54:,mais le soir euh
LD54:,faut faire un choix si on veut faire autre chose
LD54:,soit bon on peut très bien se mettre à télévision à
LD54:,partir de de vingt-et-une heures
LD54:,hein
LD54:,ça nous arrive
LD54:,quand même
LD54:,quand y a des émissions qui nous intéressent
LD54:,mais non aujourd'hui je pense que
LD54:,c'est aussi une question de
LD54:,de génération je pense que
LD54:,ça m'est passé le le
LD54:,temps de voir un film hein donc aujourd'hui euh
LD54:,depuis qu'on est commerçant
ch_NS3:,hm hm
LD54:,on va plus au cinéma
ch_NS3:,d'accord
LD54:,pourquoi c'est que on y prend plus le temps
ch_NS3:,hm hm
LD54:,bon vous voulez pas être commerçante ?
ch_NS3:,non pour le
ch_NS3:,[rire:noise:instantaneous]
ch_NS3:,je suis ensei-
ch_NS3:,[rire:noise:instantaneous] je
LD54:,non non parce que non non enseignante mais vous voyez
ch_NS3:,je suis enseignante donc pour l'instant euh
LD54:,donc euh un commerçant ne va plus au cinéma
ch_NS3:,[rire:noise:instantaneous]
LD54:,bon je pense qu'y a des commerçant qui vont encore au cinéma
LD54:,hein mais ça veut dire bon aujourd'hui c'est un choix
LD54:,qu'on s'est fait ça veut dire que
LD54:,en plus
LD54:,géographiquement on est à côté ça veut dire qu'on d-
LD54:,on pourrait très bien aller au cinéma euh à vingt heures
LD54:,le soir euh
ch_NS3:,hm ouais ouais
LD54:,on ferme la boutique
LD54:,et on pourrait aller voir euh bon
LD54:,c'est vrai qu'y a au- aussi bon
LD54:,tout dépend aussi des périodes
LD54:,c'est vrai que là on va vivre un petit peu mieux
LD54:,euh en ce moment de de mai à octobre
LD54:,c'est quand même une vie un peu différente
LD54:,parce que le soir vous rentrez il fait jour
LD54:,bon c'est vrai que
ch_NS3:,hm hm
LD54:,mais rue NANON
LD54:,euh l'hiver euh
LD54:,à partir de dix-neuf heures
LD54:,a- avant dix-neuf heures euh tout est mort
LD54:,c'est vrai qu'en plus euh
LD54:,du fait qu'il fait jour lon- euh tardivement
LD54:,on va être amené des fois le soir euh on va être plus
LD54:,à fermer un quart d'heure plus tard
LD54:,parce que euh
LD54:,à dix-neuf heures trente c'est à l'heure qu'on ferme
LD54:,euh les gens sont encore euh
LD54:,les les gens encore euh le mois de juin va être euh le cas
LD54:,les gens se promènent
LD54:,donc y a encore des
ch_NS3:,hm hm
LD54:,y a encore des clients potentiels
LD54:,donc dans ces cas-là il faut pas refuser ces clients
LD54:,et il faut les prendre hein
ch_NS3:,hm hm
ch_NS3:,donc même si vous
ch_NS3:,n'allez pas beaucoup profitez pas beaucoup de
ch_NS3:,de ce
ch_NS3:,que Orléans offre au niveau cinéma et cetera
ch_NS3:,qu'est-ce que vous pensez de la
ch_NS3:,de la vie culturelle en général euh
ch_NS3:,des
ch_NS3:,des loisirs à Orléans ou des manifestations qui peuvent euh
ch_NS3:,être euh
LD54:,vous avez un théâtre qui est très bien
ch_NS3:,hm hm
ch_NS3:,hein
ch_NS3:,c'est vrai qu'on y a été y a quelques années donc le
ch_NS3:,le théâtre est très bien
ch_NS3:,je pense qu'au niveau non culturel
ch_NS3:,Orléans a fait des très
ch_NS3:,des très grands progrès ça veut dire qu'aujourd'hui vous avez euh
ch_NS3:,vous auriez du temps
ch_NS3:,hein euh du temps
ch_NS3:,et la patience je pense qu'on peut
ch_NS3:,on peut on on s'ennuie pas sur Orléans hein
ch_NS3:,hm hm
LD54:,mais ça se sait ça se
LD54:,c'est c'est tout le monde le sait
LD54:,qu'Orléans a beaucoup
LD54:,a beaucoup avancé par ra-
LD54:,par rapport à y a vingt ans hein
LD54:,non le théâtre euh
LD54:,le théâtre d'Orléans est fait de de
LD54:,de on a voulu aller voir
LD54:,je sais pas quoi la dernière fois une un un une pièce
LD54:,c'est mon épouse qui a cherché ça
LD54:,c'était complet on n'a pas pu réserver
LD54:,parce qu'on a pas d'abonnement
LD54:,euh
LD54:,autrement le cinéma
LD54:,oui les cinémas aujourd'hui les cinémas euh
LD54:,maintenant ils ont tous ils vont tous maintenant là-bas hein
ch_NS3:,hm hm
ch_NS3:,c'est vrai qu'y avait plus de choix avant y avait le
ch_NS3:,enfin y a toujours les Carmes
ch_NS3:,mais y avait le Select y avait d'autres cinéma euh
ch_NS3:,maintenant c'est
ch_NS3:,c'est le Pathé euh à la Charpenterie ou alors euh
ch_NS3:,les gens vont à Saran
ch_NS3:,parce que
ch_NS3:,y a des bons j'ai
LD54:,moi je connaissais pas Saran
LD54:,j'y suis jamais allé à Saran
LD54:,mais on m'a raconté
LD54:,Saran ils m'ont dit
LD54:,j'ai des clients avec qui on discute
LD54:,des amis
LD54:,des amis d'enfance qui sont euh
LD54:,salariés voire retraités
LD54:,et ils me disent
LD54:,on va à Saran au cinéma
LD54:,on a un grand parking
LD54:,on a pas de problème
LD54:,si justement on parle du cinéma euh
LD54:,ils habitent
LD54:,euh aussi bien au nord d'Orléans
LD54:,donc du bon côté
ch_NS3:,hm hm
LD54:,ils habitent Saint-Jean-de-Braye
LD54:,ils habitent Fleury
LD54:,ils me disent pourquoi venir à Orléans cinéma Orléans
LD54:,il me dit on a un grand parking
LD54:,la voiture elle risque rien
LD54:,parce que sur un
LD54:,d- dans un cas
LD54:,c'est quelqu'un qui est assez maniaque
LD54:,qui n'ai- n'aime pas que sa voiture soit frottée dans un parking
LD54:,donc il me dit j'ai toujours de la place sur le parking
LD54:,pour me mettre relativement éloigné
LD54:,donc
ch_NS3:,hm hm
LD54:,il me dit je suis sûr
LD54:,en qu'en rentrant ma voiture ne sera pas cognée par des portières
LD54:,donc il me dit
LD54:,euh c'est pas payant
ch_NS3:,hm hm
LD54:,et
LD54:,c'est des gens qui ont nos âges donc
LD54:,il me dit éventuellement on y va avec les petits enfants euh
LD54:,on va manger euh
LD54:,dans les restaurants de là-bas
LD54:,il me dit ceux des enfants c'est gratuit
LD54:,donc euh moi moi je moi je peux pas dire
LD54:,nous on est
LD54:,euh on leur dit nous on veut bien
LD54:,nous on nous on
LD54:,on a plus le temps d'aller au cinéma euh
LD54:,surtout là-bas hein
ch_NS3:,hm hm
LD54:,mais ils nous disent
LD54:,les petits enfants
LD54:,euh c'est gratuit à moins de six ans c'est gratuit
LD54:,et euh c'est vrai qu'aujourd'hui moi j'ai beaucoup de euh
LD54:,d'amis pas de clients
LD54:,parce qu'on en parle pas avec les clients
LD54:,ils vont tous au cinéma là-bas hein
ch_NS3:,hm hm
LD54:,et aujourd'hui il faut en vouloir
LD54:,pour venir maintenant si on parle d'Orléans
LD54:,avec les des travaux du tram-
LD54:,parce qu'on a pas évoqué les les travaux du tram-
ch_NS3:,oui
LD54:,hein
ch_NS3:,ouais ouais
LD54:,c'était prévu dans le
ch_NS3:,oui oui on peut le ouais ouais
LD54:,hein
ch_NS3:,en parler euh
LD54:,les travaux du tram-
LD54:,je pense que ça refoule beaucoup de clients
LD54:,pour beaucoup de gens
LD54:,hein bon bien c'est passager
LD54:,je dis je suis pas p- je suis pour le progrès
ch_NS3:,hm hm
LD54:,j'ai pas connu le tram- en deux mille deux
LD54:,j'étais pas là
LD54:,j'étais sur Chartres à l'époque
LD54:,donc j'ai pas connu euh les travaux
LD54:,je me souviens même pas trop
LD54:,des travaux du tram-
LD54:,de de deux mille deux deux mille trois
LD54:,quand il a été euh inauguré euh
LD54:,quand il a été fait dans la première ligne
LD54:,je je m'en souviens pas
LD54:,je me souviens quand même un tout petit peu des
LD54:,des tranchées
LD54:,mais ça m'a pas marqué
LD54:,là cette année
LD54:,je pense que dans les
LD54:,l- dans les années qui viennent
LD54:,dans dix ans je pourrais plus
LD54:,parler du du tram- euh
LD54:,de de deuxième tranche parce que là je vais y v-
LD54:,je vais y vivre notamment
LD54:,j'y s-
LD54:,j'y serais pas je suis pas concerné parce que ça passe pas là
ch_NS3:,hm hm
LD54:,mais au niveau du trafic euh
LD54:,c'est vrai que
LD54:,les gens ils sont un petit peu euh réticents
LD54:,ça veut dire là aujourd'hui c'est pas trop mal
LD54:,mais dans quelques
LD54:,m- dans quelques mois euh ça va quand même bloquer
LD54:,donc c'est vrai que les gens
LD54:,vont
ch_NS3:,hm hm
LD54:,quitter euh vont plutôt pendant un certain temps
LD54:,vouloir euh sortir d'Orléans
ch_NS3:,ouais
LD54:,c'est c'était prévu ça ?
ch_NS3:,oui
ch_NS3:,oui oui
ch_NS3:,que pa- de
LD54:,non mais qu'Orléans euh soit une ville déserte avec
ch_NS3:,ah pardon
ch_NS3:,[rire:noise:instantaneous] je pensais à ma question
LD54:,le tram-
LD54:,non non
ch_NS3:,ah non non non
ch_NS3:,ben c'est toujours le problème hein
ch_NS3:,c'est ça s'est fait
ch_NS3:,pareil à à Bordeaux euh
ch_NS3:,quand ils ont fait le
ch_NS3:,quand ils ont fait le tram-
ch_NS3:,c'est vrai que pendant
ch_NS3:,pendant plusieurs euh
ch_NS3:,enfin je sais pas combien de temps
ch_NS3:,au moins un an euh ça a été euh
LD54:,oui au moins au moins deux ans oui
ch_NS3:,très difficile pour les commerçants
ch_NS3:,c'est sûr que maintenant tout le monde est content
